close,date,high,low,open,stockname,volume
$45.31,11/18/2020,$45.59,$44.7701,$45.08,SLF,"427,991"
$45.15,11/17/2020,$45.56,$44.99,$45.18,SLF,"590,112"
$45.34,11/16/2020,$45.38,$44.69,$45.06,SLF,"491,674"
$44.45,11/13/2020,$45.21,$44.25,$45.04,SLF,"648,390"
$44.87,11/12/2020,$45.62,$44.505,$45.38,SLF,"511,294"
$1.16,11/18/2020,$1.19,$1.16,$1.16,WRN,"183,824"
$1.18,11/17/2020,$1.1899,$1.15,$1.18,WRN,"119,311"
$1.155,11/16/2020,$1.2,$1.15,$1.15,WRN,"254,749"
$1.14,11/13/2020,$1.17,$1.115,$1.12,WRN,"109,577"
$1.12,11/12/2020,$1.1299,$1.0701,$1.1,WRN,"70,952"
$43.28,11/18/2020,$43.65,$43.0434,$43.48,BCE,"964,598"
$19.6,11/18/2020,$21,$19.6,$21,ENGH,378
$42.3,11/18/2020,$42.57,$42.06,$42.29,OTEX,"499,326"
$6.35,11/18/2020,$6.6,$6.14,$6.14,APHA,"19,185,100"
$42.99,11/18/2020,$43.59,$41.35,$41.81,LSPD,"285,653"
$43.33,11/17/2020,$43.456,$42.89,$42.98,BCE,"761,870"
$43.04,11/16/2020,$43.2,$42.82,$42.94,BCE,"810,844"
$42.53,11/13/2020,$43.0466,$42.51,$42.95,BCE,"766,165"
$42.85,11/12/2020,$43.1464,$42.63,$42.86,BCE,"926,813"
$21.25,11/17/2020,$21.25,$21.25,$21.25,ENGH,N/A
$21.25,11/16/2020,$21.25,$21.25,$21.25,ENGH,197
$21,11/13/2020,$22.99,$20,$20,ENGH,"2,466"
$28.5,11/12/2020,$28.5,$20,$28.5,ENGH,"8,961"
$42.18,11/17/2020,$42.36,$41.69,$41.73,OTEX,"474,235"
$42.13,11/16/2020,$42.62,$41.85,$42.5,OTEX,"486,572"
$42.27,11/13/2020,$42.29,$41.4,$41.4,OTEX,"405,197"
$41.38,11/12/2020,$41.93,$41.075,$41.82,OTEX,"447,632"
$6.07,11/17/2020,$6.13,$5.74,$5.762,APHA,"10,526,950"
$5.8,11/16/2020,$5.855,$5.66,$5.75,APHA,"6,048,612"
$5.66,11/13/2020,$5.78,$5.45,$5.525,APHA,"18,110,540"
$5.43,11/12/2020,$5.69,$5.4,$5.47,APHA,"7,434,030"
$41.8,11/17/2020,$42.03,$39.17,$39.75,LSPD,"223,998"
$39.75,11/16/2020,$39.95,$38.69,$39.4,LSPD,"124,166"
$39.38,11/13/2020,$39.91,$39.2,$39.4,LSPD,"116,099"
$39.15,11/12/2020,$40.34,$38.84,$40,LSPD,"103,016"
$2.03,11/18/2020,$2.09,$2.03,$2.09,AT,"234,800"
$2.09,11/17/2020,$2.1,$2.07,$2.07,AT,"155,471"
$2.09,11/16/2020,$2.09,$2.045,$2.06,AT,"280,867"
$2.03,11/13/2020,$2.05,$2.01,$2.04,AT,"207,114"
$2.01,11/12/2020,$2.05,$2,$2.04,AT,"151,066"
$19.31,11/18/2020,$19.98,$19.3,$19.57,BHC,"2,018,335"
$19.45,11/17/2020,$19.78,$19.33,$19.59,BHC,"3,309,151"
$19.92,11/16/2020,$20.13,$19.4513,$19.91,BHC,"3,787,781"
$19.6,11/13/2020,$19.63,$19.0001,$19.1,BHC,"3,125,535"
$18.94,11/12/2020,$19.24,$18.8,$19.22,BHC,"2,241,258"
